Symbol,Name
224,HCM.L,Hutchison China MediTech Limited
225,JNJ.F,Johnson & Johnson
226,RCP.L,RIT Capital Partners plc
227,ACAKG.PA,Crédit Agricole S.A.
228,JNJ.F,Johnson & Johnson
229,ACAKI.PA,Crédit Agricole S.A.
230,ACAHT.PA,Crédit Agricole S.A.
231,GFS.L,G4S plc
232,RSW.L,Renishaw plc
233,ACAFU.PA,Crédit Agricole S.A.
234,SSPG.L,SSP Group plc
235,HSV.L,HomeServe plc
236,ACAKN.PA,Crédit Agricole S.A. 1
237,ACAKR.PA,Crédit Agricole S.A. 
238,ACALS.PA,Crédit Agricole S.A.
239,ACAKQ.PA,Crédit Agricole S.A.
240,ACAKP.PA,Crédit Agricole S.A.
241,ACAKZ.PA,Crédit Agricole S.A.
242,BME.L,B&M European Value Retail S.A.
243,ACALM.PA,Crédit Agricole S.A.
244,ACAKV.PA,Crédit Agricole S.A.
245,HICL.L,HICL Infrastructure Company Limited
246,ACALB.PA,Crédit Agricole S.A.
247,ACALK.PA,Crédit Agricole S.A.
248,ACALL.PA,Crédit Agricole S.A.
249,CMC.F,JPMorgan Chase & Co.
250,ACALT.PA,Crédit Agricole S.A.
251,CMC.DE,JPMorgan Chase & Co.
252,0QZ0.L,Visa Inc.
253,ACALW.PA,Crédit Agricole S.A.
254,ACALV.PA,Crédit Agricole S.A.
255,ACALH.PA,Crédit Agricole S.A.
256,RMG.L,Royal Mail plc
257,ACALG.PA,Crédit Agricole S.A.
258,RPC.L,RPC Group Plc
259,0O87.L,Telefonaktiebolaget LM Ericsson (publ)
260,AML.L,Aston Martin Lagonda Global Holdings plc
261,0O86.L,Telefonaktiebolaget LM Ericsson (publ)
262,CTEC.L,Convatec Group Plc
263,ICP.L,Intermediate Capital Group plc
264,0R1W.L,Walmart Inc.
265,TPK.L,Travis Perkins plc
266,HMSO.L,Hammerson plc
267,BEZ.L,Beazley plc
268,SHB.L,Shaftesbury PLC
269,CYBG.L,CYBG PLC
270,SXS.L,Spectris plc
271,XONA.DE,Exxon Mobil Corporation
272,XONA.F,Exxon Mobil Corporation
273,AVST.L,Avast Plc
274,0R0O.L,UnitedHealth Group Incorporated
275,HWDN.L,Howden Joinery Group Plc
276,BAB.L,Babcock International Group PLC
277,RG2A.F,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro
278,3V64.F,Visa Inc.
279,TECO2.BA,Telecom Argentina S.A.
