,Symbol,Name
1943,HCLTECH.NS,HCL Technologies Limited
1944,HCLTECH.BO,HCL Technologies Limited
1945,ASIANPAINT.NS,Asian Paints Limited
1946,ASIANPAINT.BO,Asian Paints Limited
1947,PTT.BK,PTT Public Company Limited
1948,PTT-R.BK,PTT Public Company Limited
1949,0005.HK,HSBC Holdings plc
1950,2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
1951,601857.SS,PetroChina Company Limited
1952,IOC.BO,Indian Oil Corporation Limited
1953,IOC.NS,Indian Oil Corporation Limited
1954,BHARTIARTL.BO,Bharti Airtel Limited
1955,BHARTIARTL.NS,Bharti Airtel Limited
1956,1288.HK,Agricultural Bank of China Limited
1957,NTPC.NS,NTPC Limited
1958,NTPC.BO,NTPC Limited
1959,3988.HK,Bank of China Limited
1960,HINDZINC.NS,Hindustan Zinc Limited
1961,HINDZINC.BO,Hindustan Zinc Limited
1962,601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
1963,601288.SS,Agricultural Bank of China Limited
1964,ULTRACEMCO.NS,UltraTech Cement Limited
1965,ULTRACEMCO.BO,UltraTech Cement Limited
1966,NESTLEIND.BO,Nestlé India Limited
1967,NESTLEIND.NS,Nestlé India Limited
1968,601988.SS,Bank of China Limited
1969,6505.TW,Formosa Petrochemical Corporation
1970,POWERGRID.NS,Power Grid Corporation of India Limited
1971,POWERGRID.BO,Power Grid Corporation of India Limited
1972,BAJAJFINSV.NS,Bajaj Finserv Limited
1973,BAJAJFINSV.BO,Bajaj Finserv Limited
1974,SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
1975,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
1976,2317.TW,"Hon Hai Precision Industry Co., Ltd."
1977,DMART.BO,Avenue Supermarts Limited
1978,DMART.NS,Avenue Supermarts Limited
1979,INDUSINDBK.BO,IndusInd Bank Limited
1980,INDUSINDBK.NS,IndusInd Bank Limited
1981,AOT-R.BK,Airports of Thailand Public Company Limited
1982,AOT.BK,Airports of Thailand Public Company Limited
1983,M&M.NS,Mahindra & Mahindra Limited
1984,M&M.BO,Mahindra & Mahindra Limited
1985,GODREJCP.NS,Godrej Consumer Products Limited
1986,GODREJCP.BO,Godrej Consumer Products Limited
1987,2412.TW,"Chunghwa Telecom Co., Ltd."
1988,GAIL.NS,GAIL (India) Limited
1989,GAIL.BO,GAIL (India) Limited
1990,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
1991,ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
1992,BAJAJ-AUTO.BO,Bajaj Auto Limited
1993,BAJAJ-AUTO.NS,Bajaj Auto Limited
1994,BPCL.BO,Bharat Petroleum Corporation Limited
1995,BPCL.NS,Bharat Petroleum Corporation Limited
1996,TITAN.BO,Titan Company Limited
1997,HDFCLIFE.BO,HDFC Standard Life Insurance Company Limited
1998,TITAN.NS,Titan Company Limited
1999,HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited
2000,TCS.NS,Tata Consultancy Services Limited
